File;albensis;apis;baretiae;baumannii;baylyi;beijerinckii;bereziniae;bohemicus;boissieri;bouvetii;brisouii;calcoaceticus;celticus;chengduensis;chinensis;colistiniresistens;courvalinii;cumulans;defluvii;dispersus;equi;gandensis;gerneri;gs06;gs16;guerrae;guillouiae;gyllenbergii;haemolyticus;halotolerans;harbinensis;idrijaensis;indicus;johnsonii;junii;kanungonis;kookii;kyonggiensis;lactucae;lanii;larvae;lwoffii;marinus;modestus;nectaris;nosocomialis;oleivorans;parvus;piscicola;pittii;pollinis;populi;portensis;pragensis;proteolyticus;pseudolwoffii;pullicarnis;puyangensis;qingfengensis;radioresistens;rathckeae;rongchengensis;rudis;schindleri;seifertii;seohaensis;shaoyimingii;sichuanensis;soli;stercoris;tandoii;terrae;terrestris;tianfuensis;tjernbergiae;towneri;ursingii;variabilis;venetianus;vivianii;wanghuae;wuhouensis;echte Spezies;predicted;x;max score;comment
GCF_000581895;0.01;0;0.01;0.4;0.01;0.01;0.01;0.01;0;0.01;0.01;0.06;0;0.01;0.01;0.01;0.02;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.03;0.06;0.01;0.01;0.08;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.4;
GCF_000581915;0.01;0;0;0.36;0.01;0.01;0.01;0.01;0;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0;0.01;0.01;0.09;0.02;0.02;0.01;0.09;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.04;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.02;0.01;0.02;baumannii;baumannii;WAHR;0.36;
GCF_000581935;0.01;0.01;0.01;0.48;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0;0.02;0.01;0.02;0.01;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.1;0.06;0.02;0.01;0.08;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0;0.01;0.01;0.02;0.01;0.01;0.09;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.01;0.01;0.02;baumannii;baumannii;WAHR;0.48;
GCF_000581955;0.01;0.01;0;0.32;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0;0.01;0.01;0.13;0.07;0.01;0.01;0.08;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.32;
GCF_002145155;0.01;0;0;0.29;0.01;0.01;0.01;0.01;0;0;0;0.04;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.08;0;0;0.01;0;0.01;0.01;0.1;0.08;0.01;0.01;0.07;0;0.01;0.01;0;0.01;0.01;0;0;0;0.01;0;0.01;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0;0.01;baumannii;sp.;FALSCH;0.29;
GCF_000581995;0.01;0;0;0.38;0.01;0.01;0.01;0.01;0;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0;0.01;0.01;0.13;0.06;0.01;0.01;0.07;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.38;
GCF_000582015;0;0;0;0.41;0.01;0.01;0.01;0.01;0;0.01;0.01;0.05;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.08;0;0;0.01;0;0.01;0;0.11;0.08;0.01;0.01;0.08;0;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.11;0.01;0;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.41;
GCF_000582035;0.01;0;0;0.31;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0;0.01;0.01;0.13;0.07;0.02;0.01;0.09;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0;0.01;0.01;0;0.01;0.01;0.01;0.09;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.02;0.01;0.01;baumannii;baumannii;WAHR;0.31;
GCF_000582055;0.01;0;0.01;0.11;0.01;0.01;0.02;0.01;0;0.01;0.01;0.07;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.02;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0;0.01;0.01;0.41;0.09;0.01;0.01;0.07;0;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.17;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;nosocomialis;nosocomialis;WAHR;0.41;
GCF_002145235;0.01;0;0;0.09;0.01;0.01;0.02;0.01;0;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.02;0.14;0.01;0;0.01;0;0.01;0;0.07;0.09;0.02;0.01;0.29;0;0.01;0.01;0;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;pittii;sp.;FALSCH;0.29;
GCF_002161985;0.01;0;0;0.09;0.01;0.01;0.01;0.01;0;0;0.01;0.08;0;0.01;0.01;0.01;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.19;0;0;0.01;0;0.01;0;0.09;0.13;0.01;0.01;0.29;0;0;0.01;0;0.01;0.01;0;0;0;0.01;0;0.01;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;pittii;sp.;FALSCH;0.29;
GCF_000582115;0;0;0;0.42;0.01;0.01;0.01;0.01;0;0.01;0.01;0.06;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.06;0.01;0;0.01;0;0.01;0;0.12;0.06;0.01;0.01;0.07;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0.09;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.42;
GCF_002183105;0.01;0;0;0.29;0.01;0.01;0.01;0.01;0;0;0;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0;0.01;0;0.01;0;0.11;0.05;0.01;0.01;0.07;0;0.01;0.01;0;0.01;0.01;0.01;0;0;0.01;0;0.01;0;0.01;0.08;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;baumannii;sp.;FALSCH;0.29;
GCF_000582155;0.01;0;0;0.35;0.01;0.01;0.01;0;0;0.01;0.01;0.06;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.06;0;0;0.01;0;0.01;0;0.11;0.05;0.01;0.01;0.08;0;0;0.01;0;0.01;0.01;0;0;0;0.01;0;0.01;0;0.01;0.08;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.35;
GCF_000582175;0;0;0;0.3;0.01;0.01;0.01;0.01;0;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.08;0.01;0;0.01;0;0.01;0;0.15;0.07;0.01;0.01;0.07;0;0;0.01;0;0.01;0.01;0;0;0;0.01;0;0.01;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.3;
GCF_002504145;0.01;0.01;0;0.29;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.03;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0;0.01;0.01;0.07;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;baumannii;sp.;FALSCH;0.29;
GCF_000582215;0.01;0;0;0.49;0.01;0.01;0.01;0.01;0;0.01;0.01;0.04;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0;0.01;0;0.09;0.08;0.02;0.01;0.1;0;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.49;
GCF_000582235;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.48;0;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.01;radioresistens;radioresistens;WAHR;0.48;
GCF_002741415;0.01;0.01;0;0.29;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.05;0;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.02;0.01;0.01;0.01;0.01;0.01;0.09;0.01;0.01;0.01;0;0.01;0.01;0.18;0.11;0.01;0.01;0.1;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0.15;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;baumannii;sp.;FALSCH;0.29;
GCF_000582275;0.01;0.01;0.01;0.32;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.02;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.01;0.01;0.08;0.03;0.01;0.01;0.06;0;0.01;0.01;0.01;0.02;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.02;0.01;0.02;baumannii;baumannii;WAHR;0.32;
GCF_002760825;0.01;0;0;0.29;0.01;0.01;0.01;0.01;0;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.07;0;0;0.01;0;0.01;0.01;0.11;0.06;0.01;0.01;0.08;0;0;0.01;0;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.09;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;sp.;FALSCH;0.29;
GCF_002902885;0.01;0.01;0;0.29;0.01;0.02;0.02;0.01;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;0.07;0.01;0.01;0.02;0.01;0.01;0.01;0.07;0.01;0.02;0.01;0.06;0;0.01;0.01;0.01;0.01;0.02;0.01;0;0.01;0.02;0;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.03;0.02;0.02;0.01;0.01;0.01;baumannii;sp.;FALSCH;0.29;
GCF_000582335;0.01;0;0;0.42;0.01;0.01;0.01;0.01;0;0.01;0.01;0.04;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0;0.01;0.01;0.15;0.07;0.02;0.01;0.07;0;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.11;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.42;
GCF_000582355;0;0;0;0.41;0.01;0.01;0;0.01;0;0;0.01;0.05;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0;0.04;0;0.01;0;0;0.01;0;0.14;0.08;0.01;0.01;0.09;0;0;0;0.01;0.01;0;0;0;0;0.01;0;0.01;0.01;0.01;0.12;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0;0.01;0.01;0;0;baumannii;baumannii;WAHR;0.41;
GCF_002927895;0.01;0;0.01;0.29;0.01;0.02;0.02;0.01;0;0.01;0.01;0.06;0.01;0.01;0.02;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0;0.01;0.02;0.03;0.01;0.02;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.14;0.06;0.02;0.01;0.08;0;0.01;0.02;0;0.02;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.02;0.08;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.01;0.01;0.02;baumannii;sp.;FALSCH;0.29;
GCF_000582945;0;0;0.01;0.47;0.01;0.01;0.01;0.01;0;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0;0;0.02;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0.01;0.01;0.01;0.12;0.07;0.01;0.01;0.07;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.02;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.47;
GCF_002927915;0;0;0;0.29;0.01;0.01;0.01;0.01;0;0;0.01;0.04;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.01;0.06;0.01;0;0.01;0;0.01;0;0.12;0.07;0.01;0.01;0.07;0;0;0;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.09;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;baumannii;sp.;FALSCH;0.29;
GCF_000583235;0.01;0;0;0.47;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.06;0;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.03;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0;0.01;0.01;0.1;0.07;0.02;0.01;0.08;0.01;0;0.01;0.01;0.01;0.01;0.02;0.01;0;0.01;0;0.01;0.01;0.01;0.09;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.03;0.02;0.02;0.01;0.01;0.02;baumannii;baumannii;WAHR;0.47;
GCF_000583255;0.01;0.01;0.01;0.51;0.02;0.02;0.01;0.01;0;0.01;0.01;0.06;0.01;0.02;0.02;0.02;0.01;0.02;0.02;0.02;0.01;0.02;0.02;0.02;0.03;0.01;0.02;0.02;0.02;0.01;0.01;0;0.03;0.02;0.02;0.02;0.01;0.01;0.05;0.01;0.01;0.02;0.01;0.02;0.01;0.1;0.07;0.02;0.01;0.09;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.02;0.01;0.02;0.01;0.02;0.1;0.02;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.03;0.02;0.03;0.01;0.01;0.02;baumannii;baumannii;WAHR;0.51;
GCF_000583275;0.01;0;0;0.37;0.01;0.01;0.01;0.01;0;0.01;0.01;0.03;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0;0.01;0.01;0.13;0.07;0.01;0.01;0.07;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.37;
GCF_000583295;0.01;0.01;0.01;0.52;0.02;0.02;0.01;0.02;0.01;0.01;0.01;0.05;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.01;0.02;0.02;0.02;0.02;0.01;0;0.03;0.02;0.02;0.01;0.01;0.02;0.07;0.01;0.01;0.02;0.01;0.02;0.01;0.1;0.06;0.02;0.01;0.08;0.01;0.01;0.01;0.01;0.02;0.03;0.03;0.01;0.01;0.02;0.01;0.02;0.02;0.02;0.09;0.02;0.01;0.02;0.02;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.03;0.03;0.03;0.02;0.01;0.02;baumannii;baumannii;WAHR;0.52;
GCF_000583315;0.01;0;0;0.4;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0;0.02;0.01;0.02;0.01;0.01;0.01;0.1;0.01;0.01;0.01;0;0.01;0.01;0.12;0.05;0.02;0.01;0.09;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0;0.02;0.01;0.01;0.07;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.02;baumannii;baumannii;WAHR;0.4;
GCF_000583335;0.01;0;0;0.55;0.01;0.01;0.01;0.01;0;0.01;0.01;0.05;0;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.03;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0;0.01;0.01;0.07;0.06;0.02;0.01;0.08;0.01;0;0.01;0.01;0.02;0.01;0.02;0.01;0;0.01;0;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.03;0.01;0.02;0.01;0.01;0.02;baumannii;baumannii;WAHR;0.55;
GCF_000583355;0.01;0.01;0.01;0.4;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0.02;0.01;0.01;0.02;0.02;0.01;0.01;0.02;0.02;0.02;0.01;0.02;0.01;0.02;0.01;0.01;0;0.03;0.01;0.02;0.01;0.01;0.01;0.06;0.01;0.01;0.02;0.01;0.01;0.01;0.1;0.07;0.02;0.01;0.09;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.1;0.03;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.03;0.03;0.03;0.01;0.01;0.02;baumannii;baumannii;WAHR;0.4;
GCF_000583375;0.01;0;0.01;0.33;0.01;0.01;0.02;0.01;0;0.01;0.01;0.05;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.02;0.02;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0.01;0.02;0.01;0.11;0.07;0.02;0.01;0.09;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.02;0.11;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.03;0.01;0.02;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.33;
GCF_002927955;0.01;0;0;0.07;0.01;0.01;0.01;0.01;0;0;0.01;0.09;0;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0;0.01;0;0;0.01;0.2;0;0;0;0;0;0.01;0.1;0.16;0.01;0.01;0.29;0;0;0.01;0;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0.01;0.02;0.01;0.01;pittii;sp.;FALSCH;0.29;
GCF_000583415;0.01;0;0.01;0.32;0.01;0.01;0.01;0.01;0;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.09;0.01;0.01;0.01;0.01;0.01;0.01;0.14;0.08;0.02;0.01;0.1;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.12;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.02;0.01;0.01;baumannii;baumannii;WAHR;0.32;
GCF_000583435;0.01;0;0;0.51;0.01;0.01;0.01;0.01;0;0.01;0.01;0.04;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.02;0.01;0.01;0.01;0.01;0.01;0.07;0;0.01;0.01;0.01;0.01;0.01;0.1;0.07;0.01;0.01;0.07;0;0.01;0.01;0.01;0.02;0.01;0.01;0;0;0.01;0.01;0.02;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.51;
GCF_000583455;0.01;0;0;0.44;0.01;0.01;0.01;0.01;0;0.01;0.01;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.02;0.01;0;0;0.02;0.01;0.01;0.01;0.01;0.01;0.05;0;0.01;0.01;0;0.01;0.01;0.1;0.07;0.02;0.01;0.09;0;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.02;0.01;0.02;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.03;0.02;0.02;0.01;0;0.02;baumannii;baumannii;WAHR;0.44;
GCF_000583475;0;0;0;0.46;0.01;0.01;0.01;0.01;0;0;0.01;0.05;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.01;0.06;0;0;0.01;0;0.01;0;0.08;0.06;0.01;0.01;0.08;0;0;0;0;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0;0.08;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;baumannii;baumannii;WAHR;0.46;
